epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6052,1.46415,2.74165,1.78829,0.00333,1,0.29058,0.13403,1.35562,3.5777,2.24179,6e-05,6e-05,6e-05
2,26.679,1.29713,2.55824,1.6559,0.00333,1,0.49485,0.25638,1.26011,3.4686,2.13934,0.000137228,0.000137228,0.000137228
3,39.3455,1.27926,2.06898,1.66641,0.00333,1,0.77887,0.37921,1.21132,3.4946,1.98118,0.000211288,0.000211288,0.000211288
4,51.8978,1.27259,1.67737,1.58372,0.00333,1,0.80217,0.3467,1.2796,3.46741,1.97546,0.00028218,0.00028218,0.00028218
5,65.0971,1.48248,1.79225,1.74376,0.00333,1,0.85231,0.39054,1.33772,3.491,2.13435,0.000349904,0.000349904,0.000349904
6,77.6914,1.20091,1.5769,1.57865,0.24765,0.93333,0.85355,0.44621,1.35206,3.28842,2.17616,0.00041446,0.00041446,0.00041446
7,90.6408,1.25888,1.56951,1.53994,0.00333,1,0.8592,0.39579,1.58,3.17298,2.44199,0.000475848,0.000475848,0.000475848
8,103.934,1.22787,1.63265,1.59931,0.00333,1,0.94391,0.47144,1.38119,3.16859,2.27819,0.000534068,0.000534068,0.000534068
9,117.485,1.13592,1.53891,1.55756,0.89999,0.59992,0.8659,0.37622,1.50278,3.23855,2.40981,0.00058912,0.00058912,0.00058912
10,130.638,1.23879,1.45559,1.61408,0.98571,0.93333,0.985,0.41085,1.73241,3.25718,2.59789,0.000641004,0.000641004,0.000641004
11,144.005,1.22668,1.33838,1.55117,0.90721,0.65288,0.82317,0.27486,2.0814,3.38574,3.03546,0.00068972,0.00068972,0.00068972
12,157.256,1.32963,1.4105,1.60463,0.47285,0.30075,0.26188,0.1114,2.86731,3.91163,4.75552,0.000735268,0.000735268,0.000735268
13,170.372,1.15956,1.36785,1.54249,0.35631,0.4,0.24518,0.08047,2.83608,4.04387,4.70725,0.000777648,0.000777648,0.000777648
14,183.618,1.17301,1.31183,1.5394,0.39322,0.53333,0.35236,0.15301,2.10209,4.10438,3.40466,0.00081686,0.00081686,0.00081686
15,196.821,1.25277,1.38086,1.63232,0.54495,0.66667,0.57099,0.20798,2.15151,3.1364,2.87758,0.000852904,0.000852904,0.000852904
16,210.155,1.30391,1.42527,1.69671,0.693,0.46667,0.55764,0.26152,1.90478,3.20518,2.85816,0.00088578,0.00088578,0.00088578
17,223.518,1.19682,1.32052,1.53634,0.6976,0.46667,0.56182,0.24128,1.6604,3.11575,2.59891,0.000915488,0.000915488,0.000915488
18,236.698,1.32918,1.44478,1.6302,0.51804,0.78866,0.61475,0.3432,1.77171,2.68537,2.80651,0.000942028,0.000942028,0.000942028
19,249.822,1.11606,1.10172,1.39971,0.54453,0.63855,0.60299,0.30907,1.82426,2.75158,2.96656,0.0009654,0.0009654,0.0009654
20,263.048,1.09232,1.17723,1.47579,0.59827,0.6,0.59375,0.26953,1.75286,2.89586,3.03063,0.000985604,0.000985604,0.000985604
21,276.574,1.21338,1.29394,1.5249,0.44444,0.73333,0.6371,0.26267,1.81515,3.34025,3.43542,0.00100264,0.00100264,0.00100264
22,289.886,1.08918,1.15906,1.47051,0.62588,0.86667,0.7963,0.2775,2.00647,2.72576,3.32236,0.00101651,0.00101651,0.00101651
23,303.201,1.18589,1.17466,1.45937,0.75178,0.8,0.8886,0.30209,1.95619,2.73582,3.1142,0.00102721,0.00102721,0.00102721
24,315.916,1.28514,1.26899,1.59117,0.75947,0.63284,0.75561,0.26011,1.96705,2.72327,3.00157,0.00103474,0.00103474,0.00103474
25,328.816,1.18421,1.28628,1.57153,0.94863,0.8,0.96068,0.41726,1.83749,2.35394,2.79321,0.0010391,0.0010391,0.0010391
26,341.776,1.19674,1.15797,1.51745,0.90151,0.8,0.92325,0.3294,1.85197,2.34023,2.96218,0.00101,0.00101,0.00101
27,355.096,1.19342,1.15254,1.49014,0.88168,0.9939,0.96542,0.33889,1.99367,2.40834,3.20419,0.0009704,0.0009704,0.0009704
28,368.403,1.18406,1.19382,1.49242,0.80402,0.66667,0.69943,0.33854,1.72696,2.39192,2.82067,0.0009308,0.0009308,0.0009308
29,381.825,1.1359,1.1539,1.43703,0.98477,0.8,0.90722,0.40705,1.61718,2.20735,2.82201,0.0008912,0.0008912,0.0008912
30,394.97,1.20012,1.15367,1.52257,0.98861,0.8,0.90915,0.46228,1.53652,2.06127,2.55865,0.0008516,0.0008516,0.0008516
31,407.812,1.10272,1.0146,1.42366,0.90815,0.86667,0.91245,0.43978,1.79649,2.05763,2.8143,0.000812,0.000812,0.000812
32,420.67,1.1417,1.0724,1.49899,0.89525,0.8,0.88684,0.36575,2.04762,2.3515,3.19657,0.0007724,0.0007724,0.0007724
33,433.565,1.22876,1.15987,1.58442,0.92127,0.8,0.91345,0.38571,1.97723,2.53557,3.05381,0.0007328,0.0007328,0.0007328
34,446.756,1.11851,1.08299,1.43869,0.81565,0.93333,0.91253,0.39804,1.91743,2.0578,2.94919,0.0006932,0.0006932,0.0006932
35,459.709,1.05207,1.00372,1.38914,0.93306,0.92957,0.93569,0.38724,1.95728,1.88711,2.79506,0.0006536,0.0006536,0.0006536
36,472.758,0.9009,0.92731,1.308,0.99442,0.93333,0.9725,0.44352,1.83935,1.68288,2.57291,0.000614,0.000614,0.000614
37,485.85,1.00991,0.92887,1.3628,0.9941,0.93333,0.99125,0.48613,1.68093,1.62072,2.4192,0.0005744,0.0005744,0.0005744
38,498.924,1.07976,0.99291,1.47411,1,0.99364,0.995,0.48749,1.59948,1.45592,2.36469,0.0005348,0.0005348,0.0005348
39,511.959,0.9859,0.87781,1.29498,0.99864,1,0.995,0.49854,1.58153,1.46693,2.42166,0.0004952,0.0004952,0.0004952
40,525.045,0.91811,0.88136,1.2614,0.99555,1,0.995,0.49099,1.64558,1.50325,2.50224,0.0004556,0.0004556,0.0004556
41,538.046,0.87068,1.30095,1.47002,0.99558,1,0.995,0.48707,1.67409,1.44071,2.57142,0.000416,0.000416,0.000416
42,550.901,0.9329,1.30961,1.51361,0.99399,1,0.995,0.48832,1.70053,1.38315,2.62629,0.0003764,0.0003764,0.0003764
43,563.921,0.74113,1.05947,1.33727,0.99256,1,0.995,0.47482,1.76377,1.47809,2.71191,0.0003368,0.0003368,0.0003368
44,576.768,0.79246,1.05505,1.34713,0.99308,1,0.995,0.47131,1.76956,1.53668,2.7162,0.0002972,0.0002972,0.0002972
45,589.8,0.86602,1.05432,1.39381,0.99345,1,0.995,0.48242,1.73387,1.55822,2.65767,0.0002576,0.0002576,0.0002576
46,602.953,0.8806,1.19567,1.50417,0.99266,1,0.995,0.51204,1.66743,1.57131,2.55464,0.000218,0.000218,0.000218
47,615.89,0.74044,1.02319,1.29461,0.99181,1,0.995,0.52138,1.60422,1.5769,2.4797,0.0001784,0.0001784,0.0001784
48,628.822,0.72726,1.02254,1.3494,0.99141,1,0.995,0.54018,1.58875,1.53736,2.44709,0.0001388,0.0001388,0.0001388
49,641.939,0.77974,1.04755,1.38153,0.99324,1,0.995,0.54128,1.58587,1.50044,2.42261,9.92e-05,9.92e-05,9.92e-05
50,1111.03,0.74937,0.9914,1.27865,0.99344,1,0.995,0.54499,1.60669,1.5061,2.43481,5.96e-05,5.96e-05,5.96e-05
